Code,Occupation,Job Family,Cluster
51-6092.00,fabric apparel patternmakers,Production,0
11-3013.00,facilities managers,Management,7
45-4021.00,fallers,"Farming, Fishing, and Forestry",0
25-1192.00,family consumer sciences teachers postsecondary,Educational Instruction and Library,2
29-1215.00,family medicine physicians,Healthcare Practitioners and Technical,0
25-9021.00,farm home management educators,Educational Instruction and Library,0
49-3041.00,farm equipment mechanics service technicians,"Installation, Maintenance, and Repair",5
13-1074.00,farm labor contractors,Business and Financial Operations,0
11-9013.00,farmers ranchers agricultural managers,Management,7
45-2092.00,farmworkers laborers crop nursery greenhouse,"Farming, Fishing, and Forestry",0
45-2093.00,farmworkers farm ranch aquacultural animals,"Farming, Fishing, and Forestry",0
27-1022.00,fashion designers,"Arts, Design, Entertainment, Sports, and Media",0
35-3023.00,fast food counter workers,Food Preparation and Serving Related,0
47-4031.00,fence erectors,Construction and Extraction,0
51-2051.00,fiberglass laminators fabricators,Production,0
43-4071.00,file clerks,Office and Administrative Support,0
27-4032.00,film video editors,"Arts, Design, Entertainment, Sports, and Media",0
13-2051.00,financial investment analysts,Business and Financial Operations,0
43-3099.00,financial clerks,Office and Administrative Support,0
13-2061.00,financial examiners,Business and Financial Operations,0
11-3031.00,financial managers,Management,7
13-2099.01,financial quantitative analysts,Business and Financial Operations,0
13-2054.00,financial risk specialists,Business and Financial Operations,4
13-2099.00,financial specialists,Business and Financial Operations,4
27-1013.00,fine artists including painters sculptors illustrators,"Arts, Design, Entertainment, Sports, and Media",0
33-2021.00,fire inspectors investigators,Protective Service,0
17-2111.02,fireprevention protection engineers,Architecture and Engineering,9
33-2011.00,firefighters,Protective Service,0
55-2011.00,firstline supervisors air crew members,Military Specific,0
55-2013.00,firstline supervisors tactical operations specialists,Military Specific,4
47-1011.00,firstline supervisors construction trades extraction workers,Construction and Extraction,0
33-1011.00,firstline supervisors correctional officers,Protective Service,0
39-1014.00,firstline supervisors entertainment recreation workers except gambling services,Personal Care and Service,0
45-1011.00,firstline supervisors farming fishing forestry workers,"Farming, Fishing, and Forestry",0
33-1021.00,firstline supervisors firefighting prevention workers,Protective Service,0
35-1012.00,firstline supervisors food preparation serving workers,Food Preparation and Serving Related,0
39-1013.00,firstline supervisors gambling services workers,Personal Care and Service,0
53-1042.00,firstline supervisors helpers laborers material movers hand,Transportation and Material Moving,0
37-1011.00,firstline supervisors housekeeping janitorial workers,Building and Grounds Cleaning and Maintenance,0
37-1012.00,firstline supervisors landscaping lawn service groundskeeping workers,Building and Grounds Cleaning and Maintenance,0
53-1043.00,firstline supervisors materialmoving machine vehicle operators,Transportation and Material Moving,0
49-1011.00,firstline supervisors mechanics installers repairers,"Installation, Maintenance, and Repair",0
41-1012.00,firstline supervisors nonretail sales workers,Sales and Related,3
43-1011.00,firstline supervisors office administrative support workers,Office and Administrative Support,0
53-1044.00,firstline supervisors passenger attendants,Transportation and Material Moving,0
39-1022.00,firstline supervisors personal service workers,Personal Care and Service,0
33-1012.00,firstline supervisors police detectives,Protective Service,0
51-1011.00,firstline supervisors production operating workers,Production,0
33-1099.00,firstline supervisors protective service workers,Protective Service,0
41-1011.00,firstline supervisors retail sales workers,Sales and Related,3
33-1091.00,firstline supervisors security workers,Protective Service,0
53-1049.00,firstline supervisors transportation workers,Transportation and Material Moving,0
55-2012.00,firstline supervisors weapons specialistscrew members,Military Specific,0
33-3031.00,fish game wardens,Protective Service,0
45-3031.00,fishing hunting workers,"Farming, Fishing, and Forestry",0
11-9179.01,fitness wellness coordinators,Management,0
53-2031.00,flight attendants,Transportation and Material Moving,0
47-2042.00,floor layers except carpet wood hard tiles,Construction and Extraction,0
47-2043.00,floor sanders finishers,Construction and Extraction,0
27-1023.00,floral designers,"Arts, Design, Entertainment, Sports, and Media",0
51-3091.00,food tobacco roasting baking drying machine operators tenders,Production,0
51-3092.00,food batchmakers,Production,0
51-3093.00,food cooking machine operators tenders,Production,0
35-9099.00,food preparation serving related workers,Food Preparation and Serving Related,0
35-2021.00,food preparation workers,Food Preparation and Serving Related,0
51-3099.00,food processing workers,Production,0
19-4013.00,food science technicians,"Life, Physical, and Social Science",1
19-1012.00,food scientists technologists,"Life, Physical, and Social Science",0
35-3041.00,food servers nonrestaurant,Food Preparation and Serving Related,0
11-9051.00,food service managers,Management,7
25-1124.00,foreign language literature teachers postsecondary,Educational Instruction and Library,2
19-4092.00,forensic science technicians,"Life, Physical, and Social Science",1
19-4071.00,forest conservation technicians,"Life, Physical, and Social Science",1
45-4011.00,forest conservation workers,"Farming, Fishing, and Forestry",0
33-2022.00,forest fire inspectors prevention specialists,Protective Service,4
19-1032.00,foresters,"Life, Physical, and Social Science",0
25-1043.00,forestry conservation science teachers postsecondary,Educational Instruction and Library,2
51-4022.00,forging machine setters operators tenders metal plastic,Production,0
51-4071.00,foundry mold coremakers,Production,0
13-2099.04,fraud examiners investigators analysts,Business and Financial Operations,0
43-5011.01,freight forwarders,Office and Administrative Support,0
17-2141.01,fuel cell engineers,Architecture and Engineering,9
13-1131.00,fundraisers,Business and Financial Operations,0
11-2033.00,fundraising managers,Management,7
39-4021.00,funeral attendants,Personal Care and Service,0
11-9171.00,funeral home managers,Management,7
51-9051.00,furnace kiln oven drier kettle operators tenders,Production,0
51-7021.00,furniture finishers,Production,0
39-3012.00,gambling sports book writers runners,Personal Care and Service,0
43-3041.00,gambling cage workers,Office and Administrative Support,0
41-2012.00,gambling change persons booth cashiers,Sales and Related,0
39-3011.00,gambling dealers,Personal Care and Service,0
11-9071.00,gambling managers,Management,7
39-3019.00,gambling service workers,Personal Care and Service,0
33-9031.00,gambling surveillance officers gambling investigators,Protective Service,0
53-7071.00,gas compressor gas pumping station operators,Transportation and Material Moving,0
51-8092.00,gas plant operators,Production,0
51-9071.06,gem diamond workers,Production,0
11-1021.00,general operations managers,Management,7
29-1216.00,general internal medicine physicians,Healthcare Practitioners and Technical,0
29-9092.00,genetic counselors,Healthcare Practitioners and Technical,0
19-1029.03,geneticists,"Life, Physical, and Social Science",0
17-1022.01,geodetic surveyors,Architecture and Engineering,0
19-3092.00,geographers,"Life, Physical, and Social Science",0
15-1299.02,geographic information systems technologists technicians,Computer and Mathematical,1
25-1064.00,geography teachers postsecondary,Educational Instruction and Library,2
19-4043.00,geological technicians except hydrologic technicians,"Life, Physical, and Social Science",1
19-2042.00,geoscientists except hydrologists geographers,"Life, Physical, and Social Science",0
11-3051.02,geothermal production managers,Management,7
49-9099.01,geothermal technicians,"Installation, Maintenance, and Repair",1
51-9195.04,glass blowers molders benders finishers,Production,0
47-2121.00,glaziers,Construction and Extraction,0
13-1041.04,government property inspectors investigators,Business and Financial Operations,0
45-2041.00,graders sorters agricultural products,"Farming, Fishing, and Forestry",3
27-1024.00,graphic designers,"Arts, Design, Entertainment, Sports, and Media",0
51-9022.00,grinding polishing workers hand,Production,0
51-4033.00,grinding lapping polishing buffing machine tool setters operators tenders metal plastic,Production,0
37-3019.00,grounds maintenance workers,Building and Grounds Cleaning and Maintenance,0
39-5012.00,hairdressers hairstylists cosmetologists,Personal Care and Service,0
47-4041.00,hazardous materials removal workers,Construction and Extraction,0
17-2111.00,health safety engineers except mining safety engineers inspectors,Architecture and Engineering,9
21-1091.00,health education specialists,Community and Social Service,4
15-1211.01,health informatics specialists,Computer and Mathematical,4
29-9021.00,health information technologists medical registrars,Healthcare Practitioners and Technical,0
25-1071.00,health specialties teachers postsecondary,Educational Instruction and Library,2
29-2099.00,health technologists technicians,Healthcare Practitioners and Technical,1
29-1299.00,healthcare diagnosing treating practitioners,Healthcare Practitioners and Technical,0
29-9099.00,healthcare practitioners technical workers,Healthcare Practitioners and Technical,3
21-1022.00,healthcare social workers,Community and Social Service,0
31-9099.00,healthcare support workers,Healthcare Support,0
29-2092.00,hearing aid specialists,Healthcare Practitioners and Technical,4
51-4191.00,heat treating equipment setters operators tenders metal plastic,Production,5
49-9021.00,heating air conditioning refrigeration mechanics installers,"Installation, Maintenance, and Repair",0
53-3032.00,heavy tractortrailer truck drivers,Transportation and Material Moving,0
47-3019.00,helpers construction trades,Construction and Extraction,0
47-3011.00,helpersbrickmasons blockmasons stonemasons tile marble setters,Construction and Extraction,0
47-3012.00,helperscarpenters,Construction and Extraction,0
47-3013.00,helperselectricians,Construction and Extraction,0
47-5081.00,helpersextraction workers,Construction and Extraction,0
49-9098.00,helpersinstallation maintenance repair workers,"Installation, Maintenance, and Repair",0
47-3014.00,helperspainters paperhangers plasterers stucco masons,Construction and Extraction,0
47-3015.00,helperspipelayers plumbers pipefitters steamfitters,Construction and Extraction,0
51-9198.00,helpersproduction workers,Production,0
47-3016.00,helpersroofers,Construction and Extraction,0
47-4051.00,highway maintenance workers,Construction and Extraction,0
29-2012.01,histology technicians,Healthcare Practitioners and Technical,1
19-3093.00,historians,"Life, Physical, and Social Science",0
25-1125.00,history teachers postsecondary,Educational Instruction and Library,2
29-2011.04,histotechnologists,Healthcare Practitioners and Technical,0
53-7041.00,hoist winch operators,Transportation and Material Moving,0
49-9031.00,home appliance repairers,"Installation, Maintenance, and Repair",0
31-1121.00,home health aides,Healthcare Support,0
29-1229.02,hospitalists,Healthcare Practitioners and Technical,0
35-9031.00,hosts hostesses restaurant lounge coffee shop,Food Preparation and Serving Related,0
43-4081.00,hotel motel resort desk clerks,Office and Administrative Support,0
17-2112.01,human factors engineers ergonomists,Architecture and Engineering,9
43-4161.00,human resources assistants except payroll timekeeping,Office and Administrative Support,0
11-3121.00,human resources managers,Management,7
13-1071.00,human resources specialists,Business and Financial Operations,4
51-8013.04,hydroelectric plant technicians,Production,1
11-3051.06,hydroelectric production managers,Management,7
19-4044.00,hydrologic technicians,"Life, Physical, and Social Science",1
19-2043.00,hydrologists,"Life, Physical, and Social Science",0
19-2041.03,industrial ecologists,"Life, Physical, and Social Science",0
17-3026.00,industrial engineering technologists technicians,Architecture and Engineering,1
17-2112.00,industrial engineers,Architecture and Engineering,9
49-9041.00,industrial machinery mechanics,"Installation, Maintenance, and Repair",0
11-3051.00,industrial production managers,Management,7
53-7051.00,industrial truck tractor operators,Transportation and Material Moving,0
19-3032.00,industrialorganizational psychologists,"Life, Physical, and Social Science",0
55-3016.00,infantry,Military Specific,0
55-1016.00,infantry officers,Military Specific,0
43-4199.00,information record clerks,Office and Administrative Support,0
15-1212.00,information security analysts,Computer and Mathematical,0
15-1299.05,information security engineers,Computer and Mathematical,9
15-1299.09,information technology project managers,Computer and Mathematical,7
51-9061.00,inspectors testers sorters samplers weighers,Production,0
49-9099.00,installation maintenance repair workers,"Installation, Maintenance, and Repair",0
25-9031.00,instructional coordinators,Educational Instruction and Library,0
47-2131.00,insulation workers floor ceiling wall,Construction and Extraction,0
47-2132.00,insulation workers mechanical,Construction and Extraction,0
13-1032.00,insurance appraisers auto damage,Business and Financial Operations,0
43-9041.00,insurance claims policy processing clerks,Office and Administrative Support,0
41-3021.00,insurance sales agents,Sales and Related,3
13-2053.00,insurance underwriters,Business and Financial Operations,0
33-3021.06,intelligence analysts,Protective Service,0
27-1025.00,interior designers,"Arts, Design, Entertainment, Sports, and Media",0
27-3091.00,interpreters translators,"Arts, Design, Entertainment, Sports, and Media",0
43-4111.00,interviewers except eligibility loan,Office and Administrative Support,0
11-3031.03,investment fund managers,Management,7
37-2011.00,janitors cleaners except maids housekeeping cleaners,Building and Grounds Cleaning and Maintenance,0
51-9071.00,jewelers precious stone metal workers,Production,0
23-1023.00,judges magistrate judges magistrates,Legal,0
23-1012.00,judicial law clerks,Legal,0
25-2012.00,kindergarten teachers except special education,Educational Instruction and Library,6
13-1075.00,labor relations specialists,Business and Financial Operations,4
53-7062.00,laborers freight stock material movers hand,Transportation and Material Moving,0
17-1012.00,landscape architects,Architecture and Engineering,0
37-3011.00,landscaping groundskeeping workers,Building and Grounds Cleaning and Maintenance,0
51-4034.00,lathe turning machine tool setters operators tenders metal plastic,Production,0
51-6011.00,laundry drycleaning workers,Production,0
25-1112.00,law teachers postsecondary,Educational Instruction and Library,2
23-1011.00,lawyers,Legal,0
51-4192.00,layout workers metal plastic,Production,0
43-6012.00,legal secretaries administrative assistants,Office and Administrative Support,0
23-2099.00,legal support workers,Legal,0
11-1031.00,legislators,Management,0
25-4022.00,librarians media collections specialists,Educational Instruction and Library,4
43-4121.00,library assistants clerical,Office and Administrative Support,0
25-1082.00,library science teachers postsecondary,Educational Instruction and Library,2
25-4031.00,library technicians,Educational Instruction and Library,1
29-2061.00,licensed practical licensed vocational nurses,Healthcare Practitioners and Technical,0
19-1099.00,life scientists,"Life, Physical, and Social Science",0
19-4099.00,life physical social science technicians,"Life, Physical, and Social Science",1
33-9092.00,lifeguards ski patrol recreational protective service workers,Protective Service,0
53-3033.00,light truck drivers,Transportation and Material Moving,0
27-4015.00,lighting technicians,"Arts, Design, Entertainment, Sports, and Media",1
47-5044.00,loading moving machine operators underground mining,Construction and Extraction,0
43-4131.00,loan interviewers clerks,Office and Administrative Support,0
13-2072.00,loan officers,Business and Financial Operations,0
39-3093.00,locker room coatroom dressing room attendants,Personal Care and Service,0
49-9094.00,locksmiths safe repairers,"Installation, Maintenance, and Repair",0
53-4011.00,locomotive engineers,Transportation and Material Moving,9
11-9081.00,lodging managers,Management,7
45-4023.00,log graders scalers,"Farming, Fishing, and Forestry",0
45-4022.00,logging equipment operators,"Farming, Fishing, and Forestry",5
45-4029.00,logging workers,"Farming, Fishing, and Forestry",0
13-1081.00,logisticians,Business and Financial Operations,0
13-1081.02,logistics analysts,Business and Financial Operations,0
13-1081.01,logistics engineers,Business and Financial Operations,9
11-9199.08,loss prevention managers,Management,7
29-1122.01,low vision therapists orientation mobility specialists vision rehabilitation therapists,Healthcare Practitioners and Technical,4
53-7063.00,machine feeders offbearers,Transportation and Material Moving,0
51-4041.00,machinists,Production,0
29-2035.00,magnetic resonance imaging technologists,Healthcare Practitioners and Technical,0
37-2012.00,maids housekeeping cleaners,Building and Grounds Cleaning and Maintenance,0
43-9051.00,mail clerks mail machine operators except postal service,Office and Administrative Support,0
49-9071.00,maintenance repair workers general,"Installation, Maintenance, and Repair",0
49-9043.00,maintenance workers machinery,"Installation, Maintenance, and Repair",0
39-5091.00,makeup artists theatrical performance,Personal Care and Service,0
13-1111.00,management analysts,Business and Financial Operations,0
11-9199.00,managers,Management,7
39-5092.00,manicurists pedicurists,Personal Care and Service,0
49-9095.00,manufactured building mobile home installers,"Installation, Maintenance, and Repair",0
17-2112.03,manufacturing engineers,Architecture and Engineering,9
17-2121.00,marine engineers naval architects,Architecture and Engineering,9
13-1161.00,market research analysts marketing specialists,Business and Financial Operations,4
11-2021.00,marketing managers,Management,7
21-1013.00,marriage family therapists,Community and Social Service,0
31-9011.00,massage therapists,Healthcare Support,0
53-7199.00,material moving workers,Transportation and Material Moving,0
17-2131.00,materials engineers,Architecture and Engineering,9
19-2032.00,materials scientists,"Life, Physical, and Social Science",0
15-2099.00,mathematical science occupations,Computer and Mathematical,0
25-1022.00,mathematical science teachers postsecondary,Educational Instruction and Library,2
15-2021.00,mathematicians,Computer and Mathematical,0
51-3022.00,meat poultry fish cutters trimmers,Production,0
49-9011.00,mechanical door repairers,"Installation, Maintenance, and Repair",0
17-3013.00,mechanical drafters,Architecture and Engineering,0
17-3027.00,mechanical engineering technologists technicians,Architecture and Engineering,1
17-2141.00,mechanical engineers,Architecture and Engineering,9
17-2199.05,mechatronics engineers,Architecture and Engineering,9
27-4099.00,media communication equipment workers,"Arts, Design, Entertainment, Sports, and Media",5
27-3099.00,media communication workers,"Arts, Design, Entertainment, Sports, and Media",0
27-2012.03,media programming directors,"Arts, Design, Entertainment, Sports, and Media",0
27-2012.05,media technical directorsmanagers,"Arts, Design, Entertainment, Sports, and Media",3
29-2012.00,medical clinical laboratory technicians,Healthcare Practitioners and Technical,1
29-2011.00,medical clinical laboratory technologists,Healthcare Practitioners and Technical,0
11-9111.00,medical health services managers,Management,7
51-9082.00,medical appliance technicians,Production,1
31-9092.00,medical assistants,Healthcare Support,0
29-2036.00,medical dosimetrists,Healthcare Practitioners and Technical,0
31-9093.00,medical equipment preparers,Healthcare Support,5
49-9062.00,medical equipment repairers,"Installation, Maintenance, and Repair",5
29-2072.00,medical records specialists,Healthcare Practitioners and Technical,4
19-1042.00,medical scientists except epidemiologists,"Life, Physical, and Social Science",0
43-6013.00,medical secretaries administrative assistants,Office and Administrative Support,0
31-9094.00,medical transcriptionists,Healthcare Support,0
13-1121.00,meeting convention event planners,Business and Financial Operations,0
21-1023.00,mental health substance abuse social workers,Community and Social Service,0
21-1014.00,mental health counselors,Community and Social Service,0
27-1026.00,merchandise displayers window trimmers,"Arts, Design, Entertainment, Sports, and Media",0
51-4199.00,metal workers plastic workers,Production,0
51-4051.00,metalrefining furnace operators tenders,Production,0
43-5041.00,meter readers utilities,Office and Administrative Support,0
19-1022.00,microbiologists,"Life, Physical, and Social Science",0
17-2199.06,microsystems engineers,Architecture and Engineering,9
25-2022.00,middle school teachers except special careertechnical education,Educational Instruction and Library,6
29-9099.01,midwives,Healthcare Practitioners and Technical,0
55-3019.00,military enlisted tactical operations airweapons specialists crew members,Military Specific,4
55-1019.00,military officer special tactical operations leaders,Military Specific,0
51-4035.00,milling planing machine setters operators tenders metal plastic,Production,0
49-9044.00,millwrights,"Installation, Maintenance, and Repair",0
17-2151.00,mining geological engineers including mining safety engineers,Architecture and Engineering,9
51-9023.00,mixing blending machine setters operators tenders,Production,0
49-3042.00,mobile heavy equipment mechanics except engines,"Installation, Maintenance, and Repair",5
51-4061.00,model makers metal plastic,Production,0
51-7031.00,model makers wood,Production,0
41-9012.00,models,Sales and Related,0
51-9195.00,molders shapers casters except metal plastic,Production,0
51-4072.00,molding coremaking casting machine setters operators tenders metal plastic,Production,0
19-1029.02,molecular cellular biologists,"Life, Physical, and Social Science",0
39-4031.00,morticians undertakers funeral arrangers,Personal Care and Service,0
39-3021.00,motion picture projectionists,Personal Care and Service,0
53-3099.00,motor vehicle operators,Transportation and Material Moving,0
49-3051.00,motorboat mechanics service technicians,"Installation, Maintenance, and Repair",1
53-5022.00,motorboat operators,Transportation and Material Moving,0
49-3052.00,motorcycle mechanics,"Installation, Maintenance, and Repair",0
51-4081.00,multiple machine tool setters operators tenders metal plastic,Production,0
25-4013.00,museum technicians conservators,Educational Instruction and Library,1
27-2041.00,music directors composers,"Arts, Design, Entertainment, Sports, and Media",0
29-1129.02,music therapists,Healthcare Practitioners and Technical,0
49-9063.00,musical instrument repairers tuners,"Installation, Maintenance, and Repair",0
27-2042.00,musicians singers,"Arts, Design, Entertainment, Sports, and Media",0
39-9011.01,nannies,Personal Care and Service,0
17-2199.09,nanosystems engineers,Architecture and Engineering,9
17-3026.01,nanotechnology engineering technologists technicians,Architecture and Engineering,1
11-9121.00,natural sciences managers,Management,7
29-1299.01,naturopathic physicians,Healthcare Practitioners and Technical,0
15-1244.00,network computer systems administrators,Computer and Mathematical,0
29-2099.01,neurodiagnostic technologists,Healthcare Practitioners and Technical,0
29-1217.00,neurologists,Healthcare Practitioners and Technical,0
19-3039.02,neuropsychologists,"Life, Physical, and Social Science",0
43-4141.00,new accounts clerks,Office and Administrative Support,0
27-3023.00,news analysts reporters journalists,"Arts, Design, Entertainment, Sports, and Media",0
17-3029.01,nondestructive testing specialists,Architecture and Engineering,4
17-2161.00,nuclear engineers,Architecture and Engineering,9
29-2033.00,nuclear medicine technologists,Healthcare Practitioners and Technical,0
19-4051.02,nuclear monitoring technicians,"Life, Physical, and Social Science",1
51-8011.00,nuclear power reactor operators,Production,0
19-4051.00,nuclear technicians,"Life, Physical, and Social Science",1
29-1151.00,nurse anesthetists,Healthcare Practitioners and Technical,0
